event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-15 06:07:59 UTC,view,11800010,2053013561243861733,,,3.86,549469656,a16e52ec-6b97-4933-ab53-f43c49f72406
2019-11-19 06:35:02 UTC,view,5100660,2053013553341792533,electronics.clocks,suunto,514.56,521310840,65f324a6-d63d-4a4e-9300-7b88a4596ebf
2019-11-15 06:03:37 UTC,cart,1005130,2053013555631882655,electronics.smartphone,apple,1523.76,556014234,516ad743-d468-496b-b714-2ce4bdc37896
2019-11-10 18:49:19 UTC,cart,1307188,2053013558920217191,computers.notebook,hp,223.92,567469797,abd50ea6-35d7-40bb-a9fc-cc8e5f2fd1e3
2019-11-05 17:45:54 UTC,view,1004833,2053013555631882655,electronics.smartphone,samsung,170.05,567450890,6c2bf03d-2aa2-4389-ac23-613979976c7d
2019-11-17 04:25:22 UTC,view,1306239,2053013558920217191,computers.notebook,hp,1188.96,516373706,aee02d88-4b77-445a-a9a4-cd8c7a0b0521
2019-11-15 18:51:18 UTC,view,4801014,2053013554658804075,electronics.audio.headphone,jabra,15.42,571518412,95cbf936-4a0a-4c6e-9fba-43d32d573049
2019-11-23 00:50:49 UTC,view,4803536,2053013554658804075,electronics.audio.headphone,samsung,11.04,575197219,3e44c073-1eba-4b36-933e-6d199bbfdc0e
2019-11-16 20:03:09 UTC,view,53300025,2141355068383822734,,perilla,33.44,529054583,750f025a-70cb-4fe1-955b-28b9c2b72899
2019-11-13 18:14:12 UTC,view,1005235,2053013555631882655,electronics.smartphone,oppo,437.57,566340837,38a21757-5076-4ac4-8ecf-f8f19f46698c
2019-11-17 13:13:28 UTC,view,5801059,2053013553945772349,electronics.audio.subwoofer,focal,625.96,528364800,2da7a037-8b5b-44e8-adcf-ee3310380c61
2019-11-29 07:12:54 UTC,view,1500021,2053013552955916539,computers.peripherals.printer,epson,116.84,513113430,b30db58a-5615-4f51-ad2d-78746789c781
2019-11-11 16:14:01 UTC,view,49100005,2127425375913902544,,laston,55.02,512816895,1b3f42a9-b91d-4058-b02b-3aab42fe958a
2019-11-04 08:29:06 UTC,view,18700016,2053013555380224399,,,799.25,514046329,28fa1dcf-e948-4073-bbc4-05f82912d95b
2019-11-17 00:09:51 UTC,view,5100285,2053013553375346967,,xiaomi,128.68,515065752,643a809a-5372-4da3-a7c9-d06bbccb2468
2019-11-01 03:12:52 UTC,view,26402814,2053013563651392361,,lucente,285.46,519583404,9a7ddc58-56aa-4fc9-9aa0-60db30d13d12
2019-11-04 17:24:33 UTC,view,12711508,2053013553559896355,,tunga,37.07,566386767,c238e5f7-d422-4b08-9aa9-bc2574cfb622
2019-11-16 10:56:14 UTC,view,26300091,2053013563584283495,,lucente,418.54,544250459,6afd3e7f-b8b7-481f-bace-a1421f78ce67
2019-11-02 13:24:42 UTC,view,26000276,2053013562837697343,,,8.66,541037354,69ec26f0-0749-41b3-ba1f-14d6151db10a
2019-11-25 13:18:26 UTC,view,1005204,2053013555631882655,electronics.smartphone,xiaomi,143.84,575469062,6bfea9f3-56a6-49fa-8991-6ca56bd77669
2019-11-18 11:48:14 UTC,view,22500276,2053013552469377249,,mart,11.3,572206614,d34137d8-1fb3-4c1d-8b2c-4fa4ea5b8049
2019-11-05 12:22:40 UTC,view,12711989,2053013553559896355,,triangle,47.62,567763842,b485294b-3fc6-42f0-b244-646e9257e69e
2019-11-25 08:05:50 UTC,cart,12717103,2053013553559896355,,cordiant,40.93,548853027,ae22fcce-557e-4a8d-8e47-3c6c7796d4d0
2019-11-19 19:10:15 UTC,view,26500125,2053013563550729061,,lucente,168.6,560817099,cfcd6183-b787-4bc8-a094-f80be24c73cb
2019-11-24 05:05:16 UTC,view,1306660,2053013558920217191,computers.notebook,hp,381.73,546378905,8e069524-920c-45c7-a28d-c450c4711e75
2019-11-26 08:28:33 UTC,view,1005115,2053013555631882655,electronics.smartphone,apple,916.33,524316114,6484b85c-e031-4753-9b0c-4b437e0731d4
2019-11-15 05:40:38 UTC,view,1801589,2053013554415534427,electronics.video.tv,sony,462.79,571700391,928f1d84-ae18-442a-8fa1-214880f3cb2d
2019-11-19 12:08:08 UTC,purchase,26200591,2053013563693335403,,,203.35,568854683,e98725ef-bb74-44de-a3ba-3cb8318fca81
2019-11-17 06:11:42 UTC,view,28716727,2053013565480109009,apparel.shoes.keds,,53.8,549707902,a38713f7-e9d8-467a-aebe-c0af3886ecac
2019-11-16 18:11:20 UTC,view,2701994,2053013563911439225,appliances.kitchen.refrigerators,samsung,682.1,515474598,4e943dac-2794-9772-726e-6298f9ffe352
2019-11-16 15:48:01 UTC,view,38900013,2085718636156158307,,,54.57,530916263,39995dca-3c57-5d31-aa19-f38e2547fdf9
2019-11-14 14:41:40 UTC,view,28715830,2116907519078040377,apparel.shoes,,62.81,541064121,c33b3a83-4f3a-4d90-a935-fc2e581fcc1f
2019-11-11 15:13:32 UTC,view,1005238,2053013555631882655,electronics.smartphone,oppo,308.63,570195363,eddeadf4-6274-42d5-a9df-317b5797a425
2019-11-07 05:48:30 UTC,view,28712978,2053013565228450757,apparel.shoes,marcomen,75.42,515054959,427f0239-11f6-4993-95c1-fad4c68bc4e5
2019-11-03 14:41:44 UTC,view,3900895,2053013552326770905,appliances.environment.water_heater,klima,102.94,521590773,6e1f16e8-e510-4b30-b215-b61a05764edc
2019-11-15 06:08:26 UTC,view,15100009,2053013557024391671,,,334.37,534773861,aa2fcfd2-bc56-4e7d-af9d-7a541997eab6
2019-11-15 06:42:04 UTC,view,1480396,2053013561092866779,computers.desktop,alser,411.83,571569659,734e2174-aec8-48be-bb2b-d5247d1caeee
2019-11-10 13:56:30 UTC,view,27900032,2053013564741911467,,,51.22,569730907,6f0cba33-43f2-4945-b9f5-d10c31ec07ed
2019-11-30 04:18:54 UTC,view,26401607,2053013563651392361,,,214.16,541720779,9cce4339-3ec9-46e1-a11f-fe710f78d06f
2019-11-20 11:37:45 UTC,view,3700912,2053013565983425517,appliances.environment.vacuum,samsung,118.38,569718767,3a155d55-19e0-476b-9fca-bf2721ec288d
2019-11-10 22:23:24 UTC,purchase,23301003,2053013561956893455,,,36.04,513289555,2fa86816-5a97-4ec7-a8cb-cdbdf9e249bd
2019-11-04 08:58:21 UTC,view,11500907,2053013554625249641,,jbl,198.31,512958417,c69bc9a5-ac44-471f-a84a-e274b88c6fe9
2019-11-14 08:53:45 UTC,view,4000038,2053013566142809077,construction.tools.generator,karcher,371.99,571362053,689bef4a-3471-4624-8f53-8528beeb4f3f
2019-11-16 19:10:10 UTC,view,2401741,2053013563743667055,appliances.kitchen.hood,midea,84.17,516538399,fb5c623f-d85d-484b-bb52-27db87e19483
2019-11-29 04:55:34 UTC,view,54900026,2146660887203676486,apparel.costume,conceptclub,63.06,515359903,fd3a8fb1-b46f-4d00-ae41-af6baa3dc6f9
2019-11-16 03:20:24 UTC,view,22700129,2053013556168753601,,stels,66.91,519942992,bd353723-0e8a-490b-abed-e457ad33f795
2019-11-17 16:57:23 UTC,view,17300142,2053013553853497655,,panouge,154.44,572570880,c1f042ec-121d-48f5-ab05-869b79335ee2
2019-11-22 10:05:53 UTC,view,4400537,2053013555095011711,appliances.kitchen.coffee_machine,jura,1492.2,547087227,3ad4dea5-1a5b-40a1-b87f-beb41dcafd0c
2019-11-13 12:56:58 UTC,view,1005239,2053013555631882655,electronics.smartphone,xiaomi,268.96,555647244,ed8141ad-2c72-43e1-a2c6-c256ac7a9807
2019-11-26 04:40:22 UTC,view,1005217,2053013555631882655,electronics.smartphone,xiaomi,143.13,566403871,39dd055b-215a-4c8a-9838-6f889ab5280f
